Date,Forecasted Sales,Actual Sales,Error
2021-01-01,3464764.960948952,3229563,235201.960948952
2021-02-01,3104860.4108791184,2967326,137534.41087911837
2021-03-01,2615663.9536846923,2517737,97926.95368469227
2021-04-01,2067531.9921236464,1978688,88843.99212364643
2021-05-01,1568392.501398107,1429414,138978.50139810704
2021-06-01,1323878.9910498965,1179378,144500.99104989646
2021-07-01,1276906.9208459358,1157225,119681.92084593582
2021-08-01,1196950.1338943422,1142099,54851.13389434223
2021-09-01,1182342.9173593014,1160655,21687.917359301355
2021-10-01,1454617.0326817986,1471242,-16624.967318201438
2021-11-01,2143766.5250882786,2116835,26931.525088278577
2021-12-01,3073253.262398891,3217877,-144623.73760110885
